Id,Review,Components,Delivery and Customer Support,Design and Aesthetics,Dimensions,Features,Functionality,Installation,Material,Price,Quality,Usability,Polarity
0,For some reason everybody complains and I'm complaining now about my toilet that I just boughtFor some reason it's not ceiling from the tank to the pedestal I can't get it sealed without cracking the toilet support design for some reason I'm very unhappy with his toilet never buy American standard again,0,0,0,0,0,0,0,0,0,0,1,0
1,"I like everything about it, great choice of spray patterns, it puts out a large volume of water out of my 1"" pipes",0,0,0,0,1,1,0,0,0,0,0,1
2,Excellent ceiling fan brace. Easy to install and well made,0,0,0,0,0,0,1,0,0,1,0,1
3,Work great easy to use . No issues at all with hanging fan,0,0,0,0,0,1,0,0,0,0,1,1
4,"I would recommend this product because it is perfect for watering hanging baskets, the wand has a shut off vale on it to be able to shut off as you move from one plant to another.See more",0,0,0,0,0,0,0,0,0,1,0,1
5,I will never not use these. I highly recommend everyone have one of these especially if you can't get an alarm system.,0,0,0,0,0,0,0,0,0,1,0,1
6,Very sturdy. You could hang a good sized fixture with this mount. Easy to install,0,0,0,0,0,0,1,0,0,1,0,1
7,Cuts pex clean and easily with one hand. Blade is easily replaceable and probably can be sharpened without much fuss. Up to 1 inch without a hitch.,0,0,0,0,0,1,0,0,0,0,1,1
8,Good product in good condition ( no rust).,0,0,0,0,0,0,0,0,0,1,0,1
9,Yellow sprinkler made from pretty thin plastic. Although that doesn't stop it from being sturdy and seemingly tough. It hooked up to my hose with no problem or leaks which is a plusSee more,0,0,0,0,0,0,1,0,0,1,0,1
10,There was no instruction in the package but it was still easy to installed. And works great.,0,0,0,0,0,1,1,0,0,0,0,1
11,"Some of us DIYers tend to take on many projects that we should not, I am one of those that usually bites off more than I should. This one started with adding a whole house water filter to our house. I have done some basic plumbing over the years but new to PEX, my cutter was a bit old so a new one was in order. The Kobalt PEX cutter was ideal and able to cut through the pipe in a single squeeze with a clean crisp cut. My older cutter did not have replaceable blade but this Kobalt cutter does so the blade can be replaced easily. I finished installing the water filter with no problems. This is one tool every DIY plumber should have.",0,0,0,0,0,1,0,0,0,0,1,1
12,"Seem to work well, fairly sharp.A little hard to do 1 1/4 inch.Overall a decent PvP pipe cutter.",1,0,0,0,0,1,0,0,0,0,0,1
13,"This toilet looks really great, clean lines, no crevices to collect dirt. It flushes beautifully. It was a little hard to install due to valves hard to get to.",0,0,1,0,0,1,1,0,0,0,0,1
14,Cushion seems to be holding up well.  No problems.,0,0,0,0,0,0,0,0,0,1,0,1
15,This water sprinkler it really does it's job. It works great and covers a big area of my lawn. As I said it's very worth the price little but very efficient.,0,0,0,0,0,1,0,0,1,1,0,1
16,They work but too stiff. It's all you can to clamp.. I'd say they were not adjusted correctly.. I have use quite a few different ones in different brand and never had this problem,0,0,1,0,0,0,0,0,0,0,0,0
17,This product doesn't look anything like the description,0,0,1,0,0,0,0,0,0,0,0,0
18,"We have a septic system and wanted a toilet that would work efficiently and use less water. This toilet looks beautiful, very sleek design and works great!",0,0,1,0,0,1,0,0,0,0,0,1
19,"I recently purchased this toilet and am about to replace it as it is totally unsatisfactory.  It has very low water flow and does not always flush everything, requiring multiple flushes to clear.  I was relying on the American Standard name for quality, but will not make that mistake again. Lowes would not allow me to exchange it, as it had already been installed, so am simply out the cost of the toilet plus the cost of installation.  I will buy a better quality toilet this time.",0,0,0,0,0,1,0,0,0,1,0,0
20,"So strong it kept my ex-outdoor cat from breaking through. He tries to claw and bite his way through puffs of frustration and defeat. He's so upset he pooped on the floor in protest. Hopefully he'll get over it, because he's not getting out again.",0,0,0,0,0,0,0,0,0,1,0,1
21,"I use these clamps for welding all the time and they are wonderful. Even for them not being ""welding quality"" finish clamps, the splatter doesn't seem to stick to the finish very easily which usually is the case with chrome. Great value for the money!",0,0,1,0,0,0,0,0,1,0,0,1
22,Love the ringâœ¨Clear pics/video. The ones I own have been very reliable with easy setup!,0,0,0,0,0,0,1,0,0,1,0,1
23,"The pad is comfortable and attractive, but unfortunately the Velcro tabs are too short and as a result, the pad pulls away from the chair.",0,0,1,1,0,0,0,0,0,1,1,0
